game_file,shape,count_human,count_model,both,human_not_model,model_not_human,true_positive,false_positive,false_negative,shape_matrix,shape_coordinates,canonical_index,canonical_encoding,shape_class
20120522_152748.txt,336 1016,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]]","[(1, 0), (3, 0), (5, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1)]","[(1, 0), (3, 0), (5, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1)]",1016 336,18
20120522_152748.txt,384 768 256 384 256 768,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]]","[(1, 0), (2, 0), (0, 1), (1, 1), (1, 2), (1, 3), (2, 3), (1, 4), (0, 5), (1, 5)]",-1,144 1008 544,661
20120522_152748.txt,384 960 576 576,0.0,1.0,False,False,True,False,True,False,"[[0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0, 0, 0]]","[(1, 0), (2, 0), (0, 1), (1, 1), (2, 1), (3, 1), (0, 2), (3, 2), (0, 3), (3, 3)]","[(1, 0), (2, 0), (0, 1), (1, 1), (2, 1), (3, 1), (0, 2), (3, 2), (0, 3), (3, 3)]",384 960 576 576,209
20120522_152748.txt,448 128 128 992,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]]","[(1, 0), (2, 0), (3, 0), (2, 1), (2, 2), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3)]","[(1, 0), (2, 0), (3, 0), (2, 1), (2, 2), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3)]",448 128 128 992,138
20120522_152748.txt,448 320 64 960,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]]","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (3, 2), (0, 3), (1, 3), (2, 3), (3, 3)]","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (3, 2), (0, 3), (1, 3), (2, 3), (3, 3)]",448 320 64 960,233
20120522_152748.txt,448 320 832 96,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 0, 0, 0]]","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (0, 2), (1, 2), (3, 2), (3, 3), (4, 3)]",-1,128 896 512 960 64,662
20120522_152748.txt,448 64 64 992,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]]","[(1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3)]","[(1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3)]",448 256 256 992,234
20120522_152748.txt,448 864 448,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0]]","[(1, 0), (2, 0), (3, 0), (0, 1), (1, 1), (3, 1), (4, 1), (1, 2), (2, 2), (3, 2)]",-1,256 896 640 896 256,11
20120522_152748.txt,448 960 448,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0]]","[(1, 0), (2, 0), (3, 0), (0, 1), (1, 1), (2, 1), (3, 1), (1, 2), (2, 2), (3, 2)]","[(1, 0), (2, 0), (3, 0), (0, 1), (1, 1), (2, 1), (3, 1), (1, 2), (2, 2), (3, 2)]",256 896 896 896,15
20120522_152748.txt,512 512 512 512 1008,1.0,0.0,False,True,False,False,False,True,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4)]",-1,1008 16 16 16 16,43
